"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
2,1697171729.6891,252#407@166.38:8.9,5.551,0.00575,-70.5,3.89,-83.5,1810,55,0.0003,-0.0002,0
2,1697171738.5872,252#407@166.38:8.9,5.537,0.011,-73.5,13.3,-83.5,1810,56,0.0003,-0.0001,0
2,1697171747.4856,252#407@166.38:8.9,5.552,0.0191,-72.5,14.7,-83.2,1810,57,0.0001,0.000199,0
2,1697171756.3836,252#407@166.38:8.9,5.548,0.00943,-67.4,13.6,-83.2,1810,58,0.0004,0,0
2,1697171765.2817,252#407@166.38:8.9,5.549,0.0132,-69.2,2.87,-83.1,1810,59,0.0004,-0.0002,0
2,1697171774.1798,252#407@166.38:8.9,5.542,0.0128,-74.2,12.2,-83.5,1810,60,0.0008,-0.0002,0
2,1697171783.0782,252#407@166.38:8.9,5.54,0.00957,-73.2,11.3,-83.2,1810,61,0.0001,0.0001,0
2,1697171791.976,252#407@166.38:8.9,5.535,0.0203,-75.3,9.36,-83.2,1810,62,0.0003,-0.0002,0
2,1697171836.467,252#407@166.38:8.9,5.529,0.00357,-75.5,14.6,-83.5,1865,1,0.0001,0,0
2,1697171845.3651,252#407@166.38:8.9,5.543,0.0169,-74.5,10.6,-84,1865,2,0.0004,0.0001,0
4,1697217217.7033,252#400@166.38:8.9,5.787,0.125,-4.39,44.4,-22,2773,1,0.00035,0,0
3,1697217226.6015,252#400@166.38:8.9,5.391,0.00451,-5.15,10.9,-38.3,2805,1,0.00015,0,0
1,1697217226.6015,252#400@166.38:8.9,3.605,0.00552,-14.2,11.7,-47.5,2803,1,0.00015,0,0
4,1697217226.6015,252#400@166.38:8.9,5.829,0.00226,-3.65,3.34,-34.6,2773,2,0.00015,-5.05e-05,0
2,1697217226.6014,252#400@166.38:8.9,5.498,0.00159,-8.89,4.46,-41.3,2804,1,0.00035,0,0
3,1697217235.4993,252#400@166.38:8.9,5.299,0.0193,-5.81,25.8,-38.5,2805,2,0.00035,-0.00025,0
1,1697217235.4995,252#400@166.38:8.9,3.57,0.00957,-14.5,2.57,-45.3,2803,2,0.00015,-5.05e-05,0
4,1697217235.4996,252#400@166.38:8.9,5.794,0.0101,-3.55,0.974,-37.3,2773,3,0.00015,0.00015,0
2,1697217235.4995,252#400@166.38:8.9,5.481,0.00391,-9.05,1.35,-39.2,2804,2,0.00035,-0.000151,0
3,1697217244.3974,252#400@166.38:8.9,5.24,0.00765,-5.68,0.847,-40.2,2805,3,0.00035,-0.000151,0
1,1697217244.3975,252#400@166.38:8.9,3.549,0.00276,-14.9,1.27,-46,2803,3,0.00035,-5.05e-05,0
4,1697217244.3974,252#400@166.38:8.9,5.724,0.0128,-3.61,0.596,-38.4,2773,4,0.00045,-0.000151,0
2,1697217244.3976,252#400@166.38:8.9,5.465,0.00319,-9.13,0.546,-42.4,2804,3,0.00015,-0.000151,0
3,1697217253.2955,252#400@166.38:8.9,4.77,0.902,-6.67,66.9,-38.2,2805,4,0.00035,-0.000151,0
1,1697217253.2955,252#400@166.38:8.9,3.542,0.00338,-12.4,12.6,-45,2803,4,0.00035,-0.00025,0
4,1697217253.2955,252#400@166.38:8.9,5.69,0.0172,-6.65,21.2,-37.4,2773,5,0.00035,-0.000151,0
2,1697217253.2954,252#400@166.38:8.9,5.457,0.00478,-19,8.08,-52.5,2804,4,0.00035,-0.000151,0
3,1697217262.1936,252#400@166.38:8.9,5.271,0.00658,-13.8,60.4,-42.6,2805,5,0.00035,-0.000151,0
1,1697217262.1935,252#400@166.38:8.9,3.559,0.00252,-18.7,46.3,-54.9,2803,5,0.00035,-0.00025,0
4,1697217262.1937,252#400@166.38:8.9,5.772,0.00844,-6.06,54.3,-39.6,2773,6,0.00015,-4.96e-05,0
2,1697217262.1935,252#400@166.38:8.9,5.475,0.00159,-19.8,62.4,-54.5,2804,5,0.00035,-0.000151,0
2,1697217271.0916,252#400@166.38:8.9,5.483,0.00226,-40,17.4,-70.3,2804,6,0.00035,-0.000151,0
3,1697217271.0917,252#400@166.38:8.9,5.312,0.00748,-30.2,29,-63.4,2805,6,0.00015,-0.000151,0
1,1697217271.0915,252#400@166.38:8.9,3.572,0.00195,-33.9,21.4,-67.4,2803,6,0.00035,-0.00025,0
4,1697217271.0915,252#400@166.38:8.9,5.796,0.00391,-25.5,16.6,-60,2773,7,0.00035,-0.000151,0
2,1697217279.9897,252#400@166.38:8.9,5.474,0.00159,-36.8,6.37,-69.4,2804,7,0.00015,-0.000151,0
3,1697217279.9895,252#400@166.38:8.9,5.272,0.00597,-19.3,6.81,-52.4,2805,7,0.00035,-0.00025,0
1,1697217279.9897,252#400@166.38:8.9,3.56,0.00195,-36.4,4.42,-69.5,2803,7,0.00015,-4.96e-05,0
4,1697217279.9896,252#400@166.38:8.9,5.776,0.0128,-29.5,8.15,-60.9,2773,8,0.00035,-0.000151,0
2,1697217288.8876,252#400@166.38:8.9,5.468,0.00319,-59.1,3.87,-82.6,2804,8,0.00035,-5.05e-05,0
3,1697217288.8876,252#400@166.38:8.9,5.246,0.00597,-33.5,3.35,-67.5,2805,8,0.00035,-0.000151,0
1,1697217288.8877,252#400@166.38:8.9,3.552,0.00159,-60.6,9.8,-81,2803,8,0.00015,-4.96e-05,0
4,1697217288.8878,252#400@166.38:8.9,5.733,0.0093,-42.3,5.02,-73.2,2773,9,0.00015,-5.05e-05,0
2,1697217297.7856,252#400@166.38:8.9,5.469,0.00422,-59.3,5.39,-82.3,2804,9,0.00045,-0.00025,0
3,1697217297.7857,252#400@166.38:8.9,5.237,0.00575,-34.1,0.87,-64.9,2805,9,0.00035,-0.000151,0
1,1697217297.7857,252#400@166.38:8.9,3.553,0.00686,-69.5,9.43,-81.5,2803,9,0.00035,-4.96e-05,0
4,1697217297.7856,252#400@166.38:8.9,5.722,0.00844,-45.2,0.946,-75.4,2773,10,0.00035,-0.000151,0
2,1697217306.6837,252#400@166.38:8.9,5.455,0.00226,-63.8,13.5,-82.5,2804,10,0.00035,-0.000151,0
3,1697217306.6838,252#400@166.38:8.9,5.217,0.00422,-34.9,1.41,-65.6,2805,10,0.00015,-0.000151,0
4,1697217306.6837,252#400@166.38:8.9,5.688,0.00713,-45.9,2.04,-75.1,2773,11,0.00035,-0.000151,0
3,1697217315.5819,252#400@166.38:8.9,5.199,0.00226,-34.9,2.12,-68.1,2805,11,0.00015,4.96e-05,0
4,1697217315.5818,252#400@166.38:8.9,5.657,0.00813,-45.5,1.94,-74.3,2773,12,0.00015,-0.000151,0
2,1697217315.5819,252#400@166.38:8.9,5.445,0.00357,-61.5,7.41,-82.6,2804,11,0.00015,-0.000151,0
2,1697217324.48,252#400@166.38:8.9,5.44,0.00658,-62.3,26.2,-82.9,2804,12,0.00015,0.00015,0
3,1697217324.4797,252#400@166.38:8.9,5.186,0.00276,-34.5,1.04,-68.3,2805,12,0.00035,-0.000151,0
1,1697217324.4797,252#400@166.38:8.9,3.529,0.00695,-72.7,31.2,-81.6,2803,10,0.00035,-0.00025,0
4,1697217324.4799,252#400@166.38:8.9,5.635,0.00422,-45.1,7.06,-75.5,2773,13,0.00015,4.96e-05,0
